comment,date
L'hôtel a besoin d'être rénové mais le bar-Augustin est tout simplement génial ! Avec la sécurité qui donne une impression d'économiser. Le petit déjeuner est super ! La piscine est très bien aussi. Matiba à la piscine est bien pour un déjeuner dans l'après-midi., avril 2017
"Très bon qualité prix , hôtel vraiment très propre, accueil chaleureux,bonne ambiance ,chambre spacieuse et confortable ,accès facile moins de 30m de la route et bonne nourriture accompagné des meilleurs vins", avril 2017
"De retour de randonnée sur le Mont Cameroun, nous avons choisi de faire étape à Limbé pour une nuit avant de repartir. Le Mojoko Hotel offre un excellent compromis entre budget raisonnable et confort : les chambres standard à 18000 francs CFA sont de bonne taille, avec AC, télé, grands placards, et salle de bain propre avec eau chaude et bonne pression sous la douche ! Le petit déjeuner est offert (café, pain, omelette). La literie est toutefois un peu molle.   L'hôtel est facile à trouver, en retrait de la route principale, donc très calme. Il est très bien sécurisé (le personnel dort sur place et il y a deux gardiens de nuit). La réceptionniste, Pamela, est très serviable et nous a gentiment trouvé taxis et renseignements pour notre retour en bus le lendemain.   Seul bémol :", mars 2016
Its cheap. So you get what you pay for. Really good location though. But just a room and a shower. AC works. No Wifi. Shower and bathroom was fine. TV actually had a few decent channels so I watched some World Cup matches which was nice. But it is not a place to hang out in your room. Take it for the deal not for the quality., juin 2018
"Bien situé dans Limbe, Très bel hôtel du point de vue architectural, les chambres sont correctes, le personnel aimable et disponible. Le petit déjeuner agréable avec surtout une excellente omelette préparée à la demande!  Il n'offre pas la qualité de prestations de l'Atlantic Beach, avec ses chambres à la magnifique vue, mais dans l'ensemble, l'essentiel est là!", juillet 2015
I love the clean and quiet environment. The sheets and towels are clean and soft. The service is great. The rooms are spacious and the hallways have the softest carpet. The food is tasty and the pool is tucked away for lots of privacy.  The jacuzzi in the luxury room is a bonus treat!!! It’s the perfect escape nuke., décembre 2019
"Merhabalar, iş icabı 5 ay kadar limbede bulundum. İş teslimatı için gittiğimizde konaklama fırsatım oldu. Değerli seyahat severler limbe bir liman şehri ve okyanusa komşu, birçok restaurant okaynus kenarına yerleşmiş durumda. Tropikal iklimden dolayı aşırı derecede sivrisinek mevcut, ve malerya (sıtma) hastalığına sebebiyet vermekte. Burada konaklama şekli ve müfredatı farklı yani sadece konaklamaya ücret alınmakta. gecelik fiyatlar çok fahiş inanın yatılacak gibi değil hijyen sıfır. Ancak Omni sport hotel bu tabuları yıkmış durumda. Türkiyedeki birçok otelde dahi bulamayacağınız konfora sahip. Restaurantta tropikal meyvelerle keyifle yemeğinizi yiyip seyahat programınıza devam edebilirsiniz. Sivrisineksiz sıcak suyu olan temiz yatakta konaklamak isteyenlere duyurulur.", février 2017
"trés beau coin piscine, gentilesse irréprochable du personnel! la nourriture et le service au bar fut également bonne!  Un peu dommage que l'on ne puisse pas ouvrir les fénêtres pour aérer. Cependant, hôtel à recommender!", mars 2018
"Les points forts de l'établissement : le personnel très attentionné, la piscine, le bar, un bon restaurant, en particulier un excellent buffet de petit déjeuner. Le wifi présente de bonnes performances. Une rénovation permettrait d'atteindre la note Excellent.", mars 2018
"Une équipe des plus agréables et accueillantes, notamment l'équipe Restauration avec une appréciation particulière pour l'équipe du Bar Cocotier, spécialement Augustin, d'une sympathie et service inégalables. Je recommande vivement un tour au Cocotier en faisant appel à Augustin !", mars 2018
"Mais où est passé ce fameux décorateur que la direction cite dans toutes ses réponses ??? Il est temps qu'il fasse son job.  Mêmes les employés n'y croient plus, mais heureusement ils gardent le sourire. Je crois que tout a déjà été dit dans les nombreux commentaires. Je n'ai pas grand chose de positif à rajouter et pas le coeur à rajouter du négatif. RENOVEZ VOTRE HOTEL PAR PITIÉ.", mars 2018
"Très forte odeur d’humidité dans les chambres, très incommodante (impossible de dormir, j’ai dû changer de chambre en pleine nuit...) heureusement réceptionniste de nuit réactif et compréhensif (pas forcément le cas des équipes de jour pas très sympas...). Les chambres commencent à être vraiment vieillottes. Comme en témoigne sa façade, cette hôtel a besoin d’un grand coup de frais. Bon restaurant et bon petit déjeuner en revanche, avec une très bonne équipe pour en assurer les services. A part pour déjeuner ou dîner, je ne reviendrai pas dans cet hôtel et ne le recommanderait pas. Il est très loin des standards de la marque Pullman et du groupe Accor d’une manière générale. ", janvier 2018
"Chambre propre et agréable, bonne clim', salle de bains impeccable, WIFI un peu faible. Parties communes vieillissantes, moquette gondolée, système d'appel d'ascenseur par carte totalement défaillant et obsolète. Personnel très sympa et professionnel, buffet/restauration de très bonne qualité, prix raisonnable pour Douala. ", avril 2018
"Personnel très accueillant et compétent toujours à notre service en particulier Clarisse, Henri, Isaac, Nicole,  Augustin Bruno Lucas Jude Éric etc Helen Émile Jacob  Personnel qui est dévoué à ces clients et répond à leur problèmes ", avril 2018
"Toujours agréable de s y rendre , avec toute son équipe d accueille  et son personnel de restauration en passant par clarisse au pdj , toujours rassurant de venir au pullman douala, malgré les locaux vêtus et en mauvais états et le personnel assez professionnel,", février 2018
"sécurité impécable,  accueil parfait, petit déjeuner et déjeuner excellent, service en cambre parfait, housekeeping jamais à temps donc il faut toujours réclamer- climatiseur ok, chambre bien faite, en général bonne impression de l'hôtel", mars 2018
- Chambres à relooker asap style très vieillot (pas assez aéré) - Piscine salle  - Petit déjeuner: à ameliorer pas assez varié.Toujours la même chose. - Hôtel à renouveller rapidement.  + Bar Cocotiers:super service équipe au petits soins +  Restaurant Madiba:bons plats bien préparés et bien présentés  En géneral :   + Très bon service client + jolis exterieurs (piscine + jardins) - Vétusté des chambres et de l'hôtel globalement, mars 2018
"J'ai déjà fais au moins 3 courts séjours de 2 jours dans ce hôtel idéalement situé pour ceux qui recherchent la chaleur de la ville plutôt que le calme et la tranquillité. Passé l'agréable surprise de la première fois où j'ai eu un appart pour 15000, les fois suivantes j'ai tout de suite remarqué que l'hôte était en train de tomber en ruine, la piscine est hors service avec une eau dégoûtante, le personnel est froid et il ya toujours des choses qui ne fonctionnent pas.", décembre 2015
"Cet ensemble de cottages en dehors de Limbe est un merveilleux endroit pour s'éloigner de tout. Les chambres sont basiques, mais très propre avec utilisables AC et petite télé. Les salles de bains spacieuses dans les cottages. Le restaurant a une belle menu, avec des poissons fraîchement pêchés de leur côte par les pêcheurs de petits bateaux. Le petit déjeuner est inclus dans le tarif de la chambre, d'ananas frais cultivés sur les terres. En face se trouve la magnifique plage sable au chocolat et un bonus Cove, avec de l'eau de source froide infiltrent en bas des pentes du mont Cameroun. Il y a un petit bar avec des tables donnant sur les plages. Le personnel était serviable mais discret. Le directeur était content de nous montrer les différents fruits il a planté sur le domaine.", janvier 2012
"L'endroit est magnifique, avec une belle vue, belle plage avec peu ou pas de gens ... et le personnel est en général très gentil, mais je vous conseille de méfiance le responsable de l'hôtel, car il est très injuste. Aussi personne n'est venu à nettoyer notre chambre pendant les 4 jours que nous y avons passé ...", décembre 2011
"Nous avons eu 2 jours de Tsaben Beach hôtel, c'était le meilleur hôtel que nous ayons eu au cours de nos 2 semaines en Cameoon (chambres propres, avec de bons lits). Nous avons eu un excellent dîner et très belle vue depuis la terrasse et aussi belle vue au bar de la plage. Donc, tout était excellent, et je dis cela dans le nom de toutes les personnes de notre groupe de 15 personnes. Surtout je veux signaler le service gentils et chaleureux.  Il n'est pas facile de quitter maintenant retourner à l'Allemagne.  Achim de Stuttgart, Allemagne  Il n'y a aucune piscine et salle de fitness, mais je n'ai pas pu décocher le bouton", janvier 2013
"Bon endroit et avec jolie plage il faut descendre. Nous reviendrons sans doute là, mais dans quelques mois pour voir s'ils ont déjà été fixées et rénové toutes dit qu'ils le feraient. Le personnel n'est pas très sympa a part le propriétaire réel. Nous avions réservé 3 semaines à l'avance, nous a montré jusqu'à environ 4 heures de l'après-midi et nous avons quand même attendre 2 heures avant la chambre était prête. Dans notre attente, nous avons commandé des repas pour notre famille de quatre personnes qui nous a dit qu'on serait prêt en 30 minutes. 2 heures et demie plus tard, notre nourriture était prête. La climatisation dans notre chambre ne fonctionnait pas correctement et pas d'eau chaude. La nourriture était de bonne qualité et à un prix très raisonnable. Je donne à cet", novembre 2012
C'était vraiment une bonne expérience pour moi et j'aimerais bien y retourner un jour. La plage est magnifique. L'hôtel dispose d'un bon équipement et le personnel est sympathique. Un bel endroit pour se détendre ! C'est très calme. Les gens et le personnel vraiment garder votre intimité et vous faire apprécier votre séjour. L'hôtel offre des services de bus qui vous permettront de vous rendre partout à Limbe. Le propriétaire lui-même sera toujours autour de l'hôtel et vous aider., mars 2012
"Un charmant petit hôtel avec un personnel sympathique. Très proche de la plage (on entend le bruit des vagues le soir). Lits un peu inconfortable, mais c'était le cas ailleurs dans le pays. Les chambres étaient simples mais fonctionnelles, la douche ne fonctionnait pas correctement mais nous n'avons pas l'esprit. Le seul inconvénient serait l'être le restaurant, pas confortable et la nourriture était juste correct - même si les prix étaient super pas cher! Dans l'ensemble, une bonne alternative à la plage de Seme en bas de la rue (une destination plutôt ringard masse) et c'est vraiment bon si vous voulez l'utiliser comme base pour sortir et explorer. Atteindre la ville en taxi vous prendre quelques bons 20 minutes et vous coûtera 3,000 la BEAC (environ 5 euros) pour un taxi", août 2012
"Le personnel était très accueillant, la chambre avait l'air conditionné et des lits très confortables, un chauffe-eau, et la plupart de tous tout était très propre et bien organisé. La nourriture était aussi savoureux et il y en avait beaucoup pour un très bon prix. La plage était imbattable. Seulement de mes amis et moi à la plage pour toute la durée de notre voyage. Dans l'ensemble, c'est un excellent hôtel à Limbe, le Cameroun !", mars 2012
"Tout était très joli, le personnel sympathique. Serveur était très arrangeant et nous n'avons vraiment rien trouvé à redire sa gentillesse et le service. La nourriture était très bonne et les chambres bien qu'assez simple était propre et faisait son objet. Le bar et le restaurant sont super et à l'atmosphère très détendue. Accès internet wi fi gratuit un peu lentement, pourrait aussi faire quelques progrès dans cette région.", juillet 2017
"C'est soi-disant le meilleur hôtel à Douala. Ce qui ne veut pas dire grand-chose. L'hôtel est tenu par un des riches familles musulman et pas beaucoup ont été investis depuis qu'il a été construit près de 35 ans. Les chambres sont défraîchies mais propre. La clim est bruyante mais elle marche, au moins cette chambre. La connexion Wi-Fi est faible. Le lobby est climatisé et très lourd. Le personnel est serviable dans l'ensemble et sont en fait un peu gênés sur la situation de l'hôtel. Le petit déjeuner est correct avec un choix de fruits, mangue, de la papaye du pain etc. .. Bon choix avec croissants frais de la France ! Petite piscine.  L'hôtel dispose pas de salle de gym !  L'hôtel a une coopération avec un vendeur de voitures entreprise assurant décent, si vieille, les", juin 2017
"Je suis allée à cet hôtel pour la seconde fois passer 3 nuits pour une affaire. L'hôtel a besoin d'être rénové mais ils sont en train d'y remédier. En ce moment il y a une chambre refaite et j'ai eu de la chance d'en trouver. S'ils vous sera rénové cet hôtel complètement il y aura un nouveau bijou de l'Afrique. Il y a un bon service dans les bars ou le restaurant surtout M. Augustin, M. Adolphe. Il y a une jolie piscine pour vous rafraîchir et une bonne climatisation. Malheureusement, la connexion sans fil était assez lente.  Cet hôtel est le meilleur choix si vous restez à Douala.", juin 2017
"Peut-être que c'était une fois un hôtel agréable, mais qui est bien loin. Aujourd'hui cet édifice est vieux, les chambres humide et il y avait une mauvaise odeur, mais de l'air conditionné qui ne marchait pas bien et les toilettes qui était constamment en. L'accès gratuit à internet est très, très lent, et la chambre avait coûté presque 15 € par jour. Je n'ai pas essayé si c'était mieux que l'itinérance nationale est moins cher qu'à l'hôtel. Le personnel était attentionné et la nourriture était médiocre. Une chose est sûre, j'y retournerai pas et je recommanderais vivement à tout le monde sans même d'essayer cet endroit. J'ai atterri à cet hôtel parce que notre représentant un distributeur, j'ai trouvé que c'était très bien.", juin 2017
"L'hôtel est bien situé, proche de l'aéroport. Enregistrement rapide et nous y avons passé trois nuits dans cet hôtel. Les repas étaient assez bons et on trouve un bon buffet pour le petit déjeuner. Le service en chambre était très rapide et le personnel très sympathique. Je mentionne tout de Louis Clarisse & qui ont rendu notre séjour très agréable avec un grand sens du service. Les chambres sont vraiment bien.", juin 2017
"Un bon hôtel pour les normes du Cameroun. Il y a une superbe vue sur l'océan. La nourriture est bonne, mais aussi de la bière. Les chambres sont climatisées. Le service au restaurant est très lent. C'est un hôtel populaire auprès des touristes.", avril 2013
"Nous sommes allés à cet hôtel une nuit mais nous avons été satisfaits de tout, même si le bungalow était un peu usé et c'était un peu drôle aussi. Le personnel était très gentil et serviable et même dans le restaurant ils préparé pour nous ce que nous avons voulu manger, non seulement ce qu'ils avaient sur le menu. Ce que j'ai trouvé très agréable. sur la petite colline était le bar et d'une magnifique vue sur l'océan, mais aussi sur la plate-forme d'huile :) C'était bien agréable ici et même sans fil fonctionnait bien, en fait le meilleur de tous les endroits que j'étais au Cameroun.", janvier 2013
"Nous y avons passé 2 nuits im 2009 Jan. C'est un endroit très simple mais très agréable donnant sur l'océan et à proximité du jardin botanique et du zoo de Limbe. Les chambres sont bon marché, propre et confortable - exactement ce dont vous avez besoin pour voyager à travers Cameroun authentiquement. Dans cette région du Cameroun les gens parlent anglais.", mai 2011
"La dernière fois que j'ai visité cet hôtel, il était tout simplement incroyable. C'est un super endroit où aller et vous détendre avec votre famille, amis ou partenaires d'affaires. C'est l'un des meilleurs endroits où je sois allé au Cameroun. tout le monde est accueillant, la nourriture est excellente et la plage est magnifique. D'après ce que j'ai remarqué, c'est jamais froid à limbe, donc vous pouvez nager à n'importe quand vous voulez. Ce qui m'intéresse le plus à propos de cet hôtel, c'est la vue que vous avez sur le mont Cameroun n'importe où vous êtes debout. Si vous aimez vous détendre, c'est l'endroit pour vous parce que vous ne trouverez pas deux endroits comme celui-ci à limbe.", août 2013
"J'ai été dans cet hôtel deux fois: une fois en 2010 et de nouveau en mars 2012. Cet hôtel était l'un des meilleurs endroits où j'ai séjourné pendant chacune de mes trois semaine excursions au Cameroun. Je commencerai par dire que l'emplacement est fantastique ! L'hôtel est situé sur une colline donnant sur son sable volcanique privé plage ci-dessous. La baignade est une activité très pratique car la plage est tout près. Sur la droite de la plage, il y a un eau douce se cacher de printemps entre deux rochers énormes qui est amusant à explorer. L'hôtel dispose également d'un bâtiment en plein air avec des tables juste au-dessus de la plage pour les pique-niques et des dîners par l'océan. L'hôtel en lui-même est assez agréable. Il y a plusieurs bâtiments différents, dont le", mars 2012
"J'ai trouvé la plage ici être remarquablement beau. La chambre que j'avais était très propre et spacieuse. Je me suis senti très à l'aise. La nourriture était exceptionnelle ainsi. Les vues depuis ici étaient magnifiques. J'ai séjourné ici pendant quelques jours avec mes amis, et nous avons passé un bon moment. Le personnel était aussi incroyablement bien ! J'adorerais y retourner, et je recommande vivement cet hôtel à tout le monde.", mars 2012
"Les chambres étaient très bien entretenues, et tous les gens étaient très gentils. Je me suis sentie comme chez moi. Pas de mentionner que je n'ai jamais eu un mauvais repas. Sans aucun doute la meilleure nourriture j'ai goûté qui j'étais au Cameroun. Pour couronner le tout mon expérience ici, la situation de l'hôtel sur la plage était idéal ! Il a fait de magnifiques paysages et s'amuser après-midi ! J'y retournerais sans hésiter !", mars 2012
"J'ai passé presque jamais été quand j'étais au Cameroun dans cet hôtel. C'est l'un des meilleurs hôtels que vous trouverez dans la région. C'est calme, propre, le personnel est très accueillant, et la vue est incroyable. Ce que j'ai préféré à propos de l'emplacement de cet hôtel est la vue. Le soir, vous pouvez voir la magnifique île de Malabo et regarder les vagues du rivage. Il pouvait parfois être très pluvieux mais le directeur fait de son mieux pour fournir le transport dans la ville, donc on a liste ont quelque chose à faire. La nourriture proposée dans cet hôtel est extraordinaire pour un prix raisonnable aussi. et à tout organe qui la visitent devrait essayer la salade de Tsaben le long avec le poisson grillé. C'est la meilleure chose qu'on aurait jamais je crois. Dans", août 2012
"La plage est belle , j’y suis allé souvent et le personnel est accueillant et aimable et aussi honnête  Compter 1500F avec une petite Castel ou un petit jus. Entrée comprise. Si l’on y mange, l’entrée est gratuite. Les enfants de moins de cinq ans ne paient pas.   Il n’y a pas de surveillance active, ca change de Seme Beach où les gardes sifflent tout le temps.  La baignade est aussi autorisée aux chiens, ce qui peut être un avantage pour les propriétaires de chiens. Moi je ne nage de toute façon pas au bord, donc ça ne m’a pas vraiment dérangé.  Il y des douches et des toilettes qui sont plutôt propres  ", janvier 2018
"La chambre est pleine de poussière, d'araignées et de cafards. Les draps sont d'une propreté douteuse et des termites bouffent le plafond. Nous avions commandé notre petit déjeuner à 7h30, il nous a été servi à 8h40, ne parlons pas du contenu dont il manquait la moitié pour 4500f... Le restaurant est bon mais hors de prix et il faut compter 2 bonnes heures d'attente pour être servis. De surcroit, le gérant est de mauvaise foi, bref passez votre chemin!", février 2017
"Le séjour (2 nuits prévues) s'annonçait plutôt bien avec en cadeau chambre avec balcon pour le prix d'une chambre simple. La plage est agréable, le cadre du restaurant aussi. Par contre, attente très longue (plus d'1h30) entre la commande et l'arrivée du plat, ce n'était pourtant pas l'affluence puisqu'on était 3 clients. Et le rapport qualité/prix médiocre (8400 F pour une brochette de boeuf, une petite bière et une bouteille d'eau). Mais au début de la nuit, des cafards dans la salle de bains, je décide d'annuler la 2ème nuit et malgré la précision ""annulation gratuite"" sur le site internet, on refuse de ma rembourser cette 2ème nuit.  Dommage, c'est une mauvaise pratique commerciale. Tout le monde n'est peut-être pas indisposé par les cafards, mais quand on précise", novembre 2016
"J ai testé les chambres : propres, clim fonctionnel, groupe électrogène.  Pour le repas, salle de restauration peu accueillante personnel un peu absent. Penser à commander au moins 3h à l avance pour manger à une heure correcte. Plage : verdoyant, vraie plage de sable, possibilité de venir avec sa nourriture moyennant 3000 F par adulte.  Bel endroit pour y passer la journée. ", octobre 2016
"Des vagues, du vent, du soleil. Le restaurant de grillades au bord de la plage est tres agreable. Le rapport qualité prix est tout ce qu'il y a de raisonnable. Chose fort agreable c'est la douche apres baignade.", avril 2016
"Chambres : propres deco un peu vieillotte mais pas très important pour moi, douché et toilette opérationnels Restaurant : prix très intéressant, en revanche très peu de plats disponibles. Pour ce qu il y avait, cuisine maison et produits frais. Comptez une bonne heure pour vous faire servir Personnel : disponible accueillant et réactif. Qualité suffisamment rare pour etre appréciable au Cameroun. Plage : en hauteur si marée haute il faut descendre des petits escaliers. Propre  Très bon rapport qualité prix pour ce petit hôtel qui se niche entre montagne et mer. Nous y retournerons avec plaisir ", décembre 2015
Le cadre est splendide dominant une très longue plage de sable noir ( d'origine volcanique) mais l'état des pavillons se dégrade. dans notre chambre le robinet d'eau coulait sans arrêt (sauf la nuit sans doute du fait d'une coupure du courant). Le personnel est accueillant et la cuisine délicieuse, janvier 2015
"Après un long séjour dans cet hotel fantastique,j'invite qui se rendra au Cameroun à y faire un tour car il fait ressentir les merveilles et les beautés de la nature.    Soyez curieux, vous ne serez pas déçus.", août 2012
"Hors saison, sale,des souris, un chauffeur qui arnaque (essaie), mais personnel sympa....Désolée pour eux! Le paradis est devenu l'enfer, total on est allé ailleurs. Le patron n'était pas là visiblement. On avait pourtant rêvé sur les avis des autres . Encore une fois le employés n'y sont pour rien.....", août 2012
ce cadre paradisiaque m'a offert un séjour très agréable, janvier 2012
"Hôtel bien placé, après le jardin botanique, mais mal entretenu. Début de rénovation mais ça n'avance pas... Piscine accessible pour 1'000 CFA par personne. La piscine est un peu sale mais sympa pour passer l'après-midi. Possible de manger sur place.", juin 2015
"Nous sommes venus dans cet hôtel pour passer du temps en famille. Ensuite, nous avons commandé à manger et à boire. Il a fallu environ 30 minutes pour nous servir à boire même si nous étions à deux clients. Ils ont perdu mais plus tard, nous avons compris pourquoi : la cuisine était très bonne et dégustation fantastique.", juillet 2017
"Miramar est correct, la chambre était propre et le lit confortable, il n'y avait pas d'eau chaude, mais c'était assez chaude extérieur que la douche froide a l'air pas mal ! Le personnel est sympathique et nous a aidé à organiser le transport pour rejoindre l'aéroport de Douala.  Le meilleur atout de cet hôtel, c'est la vue et l'emplacement, c'est juste sur le front de mer et vous allez dormir en écoutant les vagues, il est à quelques minutes à pied de la ville et de la plage. il y a une bonne ambiance avec une piscine et des chaises longues furtiture- cependant plus dehors était sale  Il y a un restaurant sur place qui sert une bonne cuisine, mais c'est un peu cher.  Dans l'ensemble, c'était un bon séjour, mais n'ayez pas de trop grandes espérances.", juin 2014
"Situé près des jardins botaniques et pas loin du centre-ville, cet hôtel est le meilleur que l'on peut obtenir pour 20000 la BEAC. (y compris du petit déjeuner) Le personnel est sympathique et serviable à tout moment. Wi-Fi mais parfois ..... ? Piscine propre Bon restaurant Les chambres sont belles et grandes Service en français et en anglais Si vous séjournez à Limbe vous devriez séjourner ici.", mars 2013
"L'hôtel Miramar jouit d'un cadre magnifique, au bord de la baie, avec la brise continuellement. Il est loin du bruit de la ville. Les petites maisons individuelles offrent calme et intimité. La grande piscine est un plaisir après une journée de visites de la chaleur. Le personnel est très agréable. Il y a une table de ping pong et billard. Nous avons l'impression que c'était un très bon choix à Limbe.  Et notre chambre était très peinture délabré - s'écaillant, carrelage cassé. Il n'y a pas d'eau chaude. Il ne faut pas vous attendent un service de femme de ménage - c'est sur demande spéciale. Le restaurant la nourriture (crevettes, qui faisait des kebabs de poisson) sont généralement bonne, mais une attente et attend. Les installations sont généralement délabrés. J'espère que le", mai 2013
"Je conseille vers Noel, quand il neige a Paris et fait 45 la bas, piscine terrible avec des betes etranges...froussards s'abstenir !", décembre 2007
"Ne perdons pas notre temps, rien n'est en rapport avec la qualité ou le service supposé être offert par cette chaine. Ouf seulement 2 jours", novembre 2009
tres mauvaise reception  de plus il vous est demande un depot de garantie enorme a l arrivee meme si la reservation est pour une nuit  De plus au moment de partir les deux ascenseurs etaient en panne donc descente par les escaliers avec la valise, octobre 2009
"Il n’y a pas beaucoup de bons hôtels à Douala et celui-ci est l’un des meilleurs. Les équipements sont tels qu’on peut les espérer dans ce type d’hôtel, mais j’ai trouvé le service assez médiocre lorsqu’il y avait un problème, car on aurait dit qu’il n’y avait aucune communication entre les membres du personnel. J’ai raté mon vol de correspondance pour Douala et je suis arrivé avec 24 heures de retard. Bien que tenu au courant par mon collègue, le personnel à l’accueil avait donné ma chambre à quelqu’un d’autre. J’ai dû attendre jusqu’à 22h pour obtenir une chambre que je garderais pendant seulement 24h, avant de pouvoir récupérer ma chambre originale pour le reste de mon séjour. Le lendemain, personne n’avait l’air au courant, et j’ai de nouveau dû attendre jusqu’à 23h pour",
"Si vous voulez un mauvais service, des douches froides (pas d'eau chaude), un choix de nourriture horrible, une chambre malodorante (BO) et une salle de bain qui a besoin d'être archivée. . . . . . . ce sera juste dans votre rue.  J'essaie toujours de trouver quelque chose de positif à dire, mais j'ai vraiment du mal à cette occasion.  Si vous aimez la roulette russe. . . . alors réservez cet hôtel et tentez votre chance.", janvier 2020
"L'hôtel était parfait. J'ai passé un mois et je pense qu'il n'y avait plus long séjour. Tout le personnel était très serviable. Le directeur était un type très serviable mais un grand merci à George qui a rendu notre séjour parfait. Je recommande cet hôtel sans hésiter. L'accès à la plage est à seulement 5 minutes à pied et le week-end ils préparent sur la plage, qui est superbe.", juin 2016
"J'ai adoré mon séjour dans un aussi beau et calme. C'était très relaxant et calme. De plus, les chambres étaient très bien. L'océan est juste en face de l'hôtel, et j'ai apprécié de pouvoir se baigner. J'espère que je puisse y retourner un jour.", juin 2015
"Personnel sympa, chambres propres, on a une belle vue de la salle à manger. Un petit-déjeuner inclus. C'était parfait pour commencer la journée. La plage se trouvait à quelques minutes à pied de l'hôtel, de l'autre côté un Road et au pied d'une colline. Agréable plage de sable noir avec du sable doux d'un côté et un lave flux dans l'autre. Parfait pour ceux qui s'intéressent à un style rustique, très relaxant.", juin 2015
"Il peut avoir été le triste. Il peut avoir été le manque d'électricité ou les petits lits, mais après avoir lu les commentaires, je m'attendais à un peu mieux. Selon les normes africaines c'est peut-être un peu mieux qu'un 3. La nourriture dans le restaurant était bien. La climatisation fonctionnait une fois le courant est revenu. La chambre ne pouvait pas être fermé contre les moustiques, donc c'était bien d'avoir la compensation pour les lits. Les chambres étaient en Afrique propre et ils nous ont apporté une télé, donc il n'y a rien à redire. La connexion wi-fi fonctionnait mais était lent même selon les normes du Cameroun. Le service était sympa mais le côté anglais de leur bi-lingualness est venu un peu court. La chambre que nous avons demandé ne correspondent pas à la", septembre 2014
"Mon mari et moi sommes venus sur notre chemin jusqu'à l'aéroport de Douala pour une brève visite à la plage. C'est un super endroit si vous aimez avoir ""circus déduire"" autour de vous. L'accès privé à la plage de l'autre côté de la rue avec de la nourriture/boisson service jusqu'à sombre. L'hôtel lui-même dispose de plusieurs cabines qui font le charme de l'endroit. Les salles de bains, un bon lit. La télé ne marchait pas mais qui s'en soucie lorsque vous avez une vue sur la mer ! L'accès à Internet peut travailler quand Mtn fonctionne ... Le personnel était super- détendu et amical. Et la nourriture excellente. Le plus grand défi est de prendre un taxi pour aller à Limbe.", avril 2014
"I highly recommend the Victoria Guest House! The primate sanctuary (worth the trip to Limbe!), the gardens, and the fishing port are all within a convenient 15 minute walk from the centrally located hotel.  The staff was super friendly and accommodating, the WiFi worked fine, and the beer was always cold. The room was basic but absolutely clean. The views from the upstairs rooms and balcony were great. I felt very safe and well taken care of.", septembre 2017
"Very Welcoming staff. Made me feel at home. Rooms are super clean. During my stay I observed there were so many employees, but they managed to put in such effort(scrubbing under the rain) to ensure the environment is clean. Still need to work on issues like an alternative water supply and their tv sets. But it was good, and I recommend this Hotel to others.", mai 2016
"The first night I stayed in a 12,000xaf room, this was an unhappy experience. The room was clean but the bed was terribly uncomfortable and slumped badly in the middle. The AC unit in this room was straight out of the 70's and loud as hell like a vacuum cleaner. The room also had no natural light. I enquired if any rooms of the same price had quieter AC, but was tersely told that I would have to pay more for a room with a 'new' AC.  18,000xaf room was a lot better and had natural light and the bed was good. The room was actually quite small, and the desk was solely occupied by an old CRT television which I had removed by the staff so I could work. Contrary to what was written on Jovago/Jumia there was not bottled water or tea/coffee facility and breakfast was not included. Found", juillet 2016
"Very well maintained very clean and comfortable.rooms. Recently underwent major renovation. Sits on a hill and over looks much of the Limbe downtown. Very knowledgeable staff, courteous and polite, will go out of their way to ensure client's comfort. Major advantage: Right in the center of Limbe and a short distance from all major attractions Downside: too close to town and not meant for those who are looking for a quiet time. Access road needs some work", décembre 2015
"3 nuits passées au pullman, chambre et hôtel vieillissant (un projet de rénovation est en cours) . Malgré cela, séjour agréable car personnel vraiment au top, plus particulièrement l'équipe du bar (Roger et Augustin) ", février 2018
Les chambres sont à rénovées car leur vétusté est assez criante. Par contre le personnel de l’hôtel est accueillant et avenant. L'ambiance au bar le soir est particulièrement agréable grâce à Augustin et Roger. le menu du restaurant mériterait d'être étoffé avec plus de plat locaux., février 2018
"Malheureusement les photos sur le site même pour la chambre Standard ne monte qu'une suite dont je ne suis même pas sur qu'elle existe dans cette hotel.  Le personnel est gentil, le restaurant est correct mais l'hotel en lui même est INADMISSIBLE.  enentrant dans la chambre cela sent l'humidité, la moissure, il y a une fuite d'au au plafond au niveau de la ""clim""... la salle de bain est salle...mal entrenue également..  malheuresement cela a le NOM d'un PULMANN mais en aucun cas la qualité, ", janvier 2018
"Réceptionnistes pas du tout à la hauteur de ce qu'on peut attendre dans un hôtel à ce prix. Aucun mot d'accueil, attente pendant que certains ne font rien. Ces personnes ne sont pas au service du client Restaurant assez bien mais chambre sale et équipements bas de gamme.", janvier 2018
Cet hôtel à toujours gardé ce qui est de meilleur dans la ville de douala.la qualité du personnel et un très bon service.personnels souriants et acceuillants.le bar et le lobby toujours animé par la bonne musique en fond sonore., janvier 2018
"etablissement ultra vieux , fourniture des chambres usée, draps troués (photo disponible) , menu du room service pauvre et indisponible , odeur de moisiseur partout..navette aeroport indisponible (il m'ont demander de prendre un taxi et ils allaient regler la facture).., aucune reconnaissance des status membre accor ( je suis platinum) ...bref pour mes prochains voyages a douala je prendrai un etablissement different .", février 2018
